Mach,Alpha,Cd,Ca,Ca,Cl,Cn,Can,Cp,Cp,Re
0.1,14,0.494,0.213,0.213,1.1,1.187,4.858,47.363,47.363,"4,193,329"
0.5,14,0.493,0.212,0.212,1.1,1.187,4.858,47.363,47.363,"20,966,650"
1.1,14,0.999,0.516,0.516,1.873,2.059,8.527,54.712,54.554,"46,126,620"
2,14,0.761,0.415,0.415,1.339,1.483,5.161,43.305,43.668,"83,866,580"
5,14,0.55,0.27,0.27,1.09,1.19,3.659,37.667,36.48,"209,666,500"
0.1,15,0.537,0.215,0.215,1.173,1.272,4.858,47.363,47.363,"4,193,329"
0.5,15,0.536,0.214,0.214,1.173,1.272,4.858,47.363,47.363,"20,966,650"
1.1,15,1.075,0.521,0.521,2,2.211,8.527,54.684,54.554,"46,126,620"
2,15,0.836,0.419,0.419,1.502,1.667,5.161,43.209,43.668,"83,866,580"
5,15,0.598,0.272,0.272,1.178,1.292,3.659,37.714,36.48,"209,666,500"
