0.750,0.0869,0.00455,0.00121,0.0002,0.7489,0.9177,-0.4700,0.0000,0.0000,0.0000,0.2454
1.000,0.1122,0.00472,0.00124,0.0010,0.7049,0.9336,-0.5344,0.0000,0.0000,0.0000,0.2385
1.250,0.1470,0.00505,0.00131,-0.0004,0.6295,0.9427,-0.6121,0.0000,0.0000,0.0000,0.2501
1.500,0.1804,0.00526,0.00140,-0.0014,0.5913,0.9523,-0.6897,0.0000,0.0000,0.0000,0.2554
1.750,0.2043,0.00549,0.00148,-0.0004,0.5476,0.9624,-0.7633,0.0000,0.0000,0.0000,0.2494
2.000,0.2411,0.00578,0.00159,-0.0024,0.4908,0.9653,-0.8619,0.0000,0.0000,0.0000,0.2573
2.250,0.2763,0.00610,0.00170,-0.0040,0.4347,0.9687,-0.9646,0.0000,0.0000,0.0000,0.2620
2.500,0.3104,0.00643,0.00181,-0.0055,0.3811,0.9729,-1.0682,0.0000,0.0000,0.0000,0.2650
2.750,0.3418,0.00682,0.00195,-0.0063,0.3263,0.9781,-1.1696,0.0000,0.0000,0.0000,0.2658
3.000,0.3699,0.00721,0.00212,-0.0065,0.2762,0.9834,-1.2673,0.0000,0.0000,0.0000,0.2647
3.250,0.4054,0.00757,0.00225,-0.0084,0.2212,0.9853,-1.3874,0.0000,0.0000,0.0000,0.2677
3.500,0.4394,0.00796,0.00241,-0.0100,0.1685,0.9876,-1.5254,0.0000,0.0000,0.0000,0.2696
3.750,0.4737,0.00839,0.00264,-0.0116,0.1173,0.9907,-1.6655,0.0000,0.0000,0.0000,0.2713
4.000,0.5072,0.00880,0.00288,-0.0130,0.0842,0.9938,-1.8067,0.0000,0.0000,0.0000,0.2724
4.250,0.5401,0.00911,0.00311,-0.0143,0.0699,0.9960,-1.9502,0.0000,0.0000,0.0000,0.2729
4.500,0.5763,0.00930,0.00330,-0.0161,0.0630,0.9980,-2.2052,0.0000,0.0000,0.0000,0.2744
4.750,0.6118,0.00961,0.00356,-0.0180,0.0553,1.0000,-2.4746,0.0000,0.0000,0.0000,0.2755
5.000,0.6333,0.00990,0.00388,-0.0167,0.0509,1.0000,-2.6879,0.0000,0.0000,0.0000,0.2723
5.250,0.6557,0.01006,0.00406,-0.0156,0.0487,1.0000,-2.9189,0.0000,0.0000,0.0000,0.2696
5.500,0.6780,0.01023,0.00422,-0.0145,0.0448,1.0000,-3.1604,0.0000,0.0000,0.0000,0.2671
5.750,0.6983,0.01065,0.00462,-0.0131,0.0385,1.0000,-3.3893,0.0000,0.0000,0.0000,0.2642
6.000,0.7223,0.01061,0.00458,-0.0124,0.0360,1.0000,-3.6771,0.0000,0.0000,0.0000,0.2624
6.250,0.7446,0.01081,0.00479,-0.0113,0.0337,1.0000,-3.9411,0.0000,0.0000,0.0000,0.2602
6.500,0.7665,0.01106,0.00503,-0.0102,0.0312,1.0000,-4.2078,0.0000,0.0000,0.0000,0.2581
6.750,0.7878,0.01140,0.00537,-0.0089,0.0282,1.0000,-4.4733,0.0000,0.0000,0.0000,0.2559
7.000,0.8094,0.01171,0.00571,-0.0077,0.0262,1.0000,-4.7480,0.0000,0.0000,0.0000,0.2538
7.250,0.8319,0.01190,0.00593,-0.0067,0.0251,1.0000,-5.0459,0.0000,0.0000,0.0000,0.2521
7.500,0.8541,0.01214,0.00619,-0.0056,0.0231,1.0000,-5.4152,0.0000,0.0000,0.0000,0.2504
7.750,0.8758,0.01243,0.00647,-0.0045,0.0204,1.0000,-5.7906,0.0000,0.0000,0.0000,0.2487
