xflr5,v6.57

Calculated,polar,for:,KC-135,Winglet,(supercritical,Whitcomb)

1,1,Reynolds,number,fixed,Mach,number,fixed

xtrf,=,1.000,(top),1.000,(bottom)
Mach,=,0.000,Re,=,0.100,e,6,Ncrit,=,9.000

alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-------,--------,---------,---------,--------,-------,-------,--------,---------,---------
-15.000,-0.2373,0.10344,0.09876,-0.0307,1.0000,0.0404,-0.6390,0.0000,0.0000,0.0000,0.1235
-14.750,-0.2316,0.10095,0.09630,-0.0309,1.0000,0.0418,-0.6244,0.0000,0.0000,0.0000,0.1194
-14.500,-0.2269,0.09873,0.09410,-0.0312,1.0000,0.0432,-0.6207,0.0000,0.0000,0.0000,0.1154
-14.250,-0.2231,0.09671,0.09212,-0.0316,1.0000,0.0447,-0.6253,0.0000,0.0000,0.0000,0.1113
-14.000,-0.2204,0.09505,0.09048,-0.0321,1.0000,0.0462,-0.6393,0.0000,0.0000,0.0000,0.1075
-13.750,-0.2200,0.09408,0.08955,-0.0328,1.0000,0.0476,-0.6669,0.0000,0.0000,0.0000,0.1044
-13.500,-0.2227,0.09395,0.08946,-0.0336,1.0000,0.0486,-0.7072,0.0000,0.0000,0.0000,0.1026
-13.250,-0.2268,0.09398,0.08953,-0.0343,1.0000,0.0493,-0.7495,0.0000,0.0000,0.0000,0.1022
-13.000,-0.2293,0.09356,0.08915,-0.0348,1.0000,0.0497,-0.7846,0.0000,0.0000,0.0000,0.1015
-12.750,-0.2304,0.09261,0.08824,-0.0350,1.0000,0.0500,-0.8097,0.0000,0.0000,0.0000,0.1012
-12.500,-0.2313,0.09138,0.08704,-0.0351,1.0000,0.0501,-0.8330,0.0000,0.0000,0.0000,0.1016
-12.250,-0.2117,0.08106,0.07682,-0.0323,1.0000,0.0539,-0.7484,0.0000,0.0000,0.0000,0.1012
-12.000,-0.2055,0.07841,0.07422,-0.0308,1.0000,0.0564,-0.7089,0.0000,0.0000,0.0000,0.1038
-11.750,-0.2035,0.07650,0.07236,-0.0298,1.0000,0.0588,-0.6984,0.0000,0.0000,0.0000,0.1073
-11.500,-0.2032,0.07481,0.07071,-0.0289,1.0000,0.0613,-0.6998,0.0000,0.0000,0.0000,0.1114
