xflr5,v6.57

Calculated,polar,for:,NACA,0012,AIRFOIL

1,1,Reynolds,number,fixed,Mach,number,fixed

xtrf,=,1.000,(top),1.000,(bottom)
Mach,=,0.000,Re,=,0.100,e,6,Ncrit,=,9.000

alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-3.000,-0.4555,0.01441,0.00736,0.0216,1.0000,0.6685,-1.2359,0.0000,0.0000,0.0000,0.2932
-2.750,-0.4350,0.01433,0.00740,0.0235,1.0000,0.7041,-1.1545,0.0000,0.0000,0.0000,0.2998
-2.500,-0.4147,0.01430,0.00745,0.0254,1.0000,0.7394,-1.0830,0.0000,0.0000,0.0000,0.3073
-2.250,-0.3944,0.01435,0.00762,0.0275,1.0000,0.7728,-1.0124,0.0000,0.0000,0.0000,0.3159
-2.000,-0.3747,0.01445,0.00780,0.0297,1.0000,0.8070,-0.9449,0.0000,0.0000,0.0000,0.3256
-1.750,-0.3551,0.01462,0.00803,0.0319,1.0000,0.8410,-0.8855,0.0000,0.0000,0.0000,0.3364
-1.500,-0.3333,0.01489,0.00833,0.0337,1.0000,0.8737,-0.8240,0.0000,0.0000,0.0000,0.3479
-1.250,-0.3048,0.01525,0.00871,0.0342,1.0000,0.9050,-0.7616,0.0000,0.0000,0.0000,0.3591
-1.000,-0.2624,0.01571,0.00914,0.0317,1.0000,0.9324,-0.6890,0.0000,0.0000,0.0000,0.3679
-0.750,-0.2062,0.01619,0.00954,0.0262,1.0000,0.9545,-0.6118,0.0000,0.0000,0.0000,0.3742
-0.500,-0.1381,0.01660,0.00989,0.0180,1.0000,0.9709,-0.5344,0.0000,0.0000,0.0000,0.3775
-0.250,-0.0691,0.01685,0.01012,0.0092,1.0000,0.9860,-0.4678,0.0000,0.0000,0.0000,0.3806
0.000,0.0000,0.01698,0.01025,-0.0000,1.0000,1.0000,-0.4089,0.0000,0.0000,0.0000,0.3762
0.250,0.0691,0.01685,0.01012,-0.0092,0.9860,1.0000,-0.4678,0.0000,0.0000,0.0000,0.3806
0.500,0.1380,0.01659,0.00989,-0.0180,0.9709,1.0000,-0.5344,0.0000,0.0000,0.0000,0.3775
0.750,0.2062,0.01619,0.00954,-0.0262,0.9545,1.0000,-0.6118,0.0000,0.0000,0.0000,0.3741
1.000,0.2624,0.01571,0.00914,-0.0317,0.9324,1.0000,-0.6889,0.0000,0.0000,0.0000,0.3679
1.250,0.3047,0.01525,0.00870,-0.0342,0.9050,1.0000,-0.7615,0.0000,0.0000,0.0000,0.3591
1.500,0.3333,0.01489,0.00833,-0.0337,0.8737,1.0000,-0.8240,0.0000,0.0000,0.0000,0.3479
1.750,0.3551,0.01462,0.00802,-0.0319,0.8410,1.0000,-0.8855,0.0000,0.0000,0.0000,0.3363
2.000,0.3746,0.01445,0.00780,-0.0296,0.8070,1.0000,-0.9448,0.0000,0.0000,0.0000,0.3256
2.250,0.3943,0.01435,0.00761,-0.0275,0.7728,1.0000,-1.0123,0.0000,0.0000,0.0000,0.3159
2.500,0.4146,0.01430,0.00745,-0.0254,0.7394,1.0000,-1.0829,0.0000,0.0000,0.0000,0.3073
2.750,0.4349,0.01432,0.00740,-0.0235,0.7041,1.0000,-1.1544,0.0000,0.0000,0.0000,0.2998
3.000,0.4554,0.01441,0.00736,-0.0216,0.6686,1.0000,-1.2358,0.0000,0.0000,0.0000,0.2932
3.250,0.4761,0.01454,0.00733,-0.0198,0.6334,1.0000,-1.3208,0.0000,0.0000,0.0000,0.2871
3.500,0.4966,0.01472,0.00739,-0.0181,0.5961,1.0000,-1.4063,0.0000,0.0000,0.0000,0.2818
3.750,0.5171,0.01495,0.00742,-0.0164,0.5604,1.0000,-1.4938,0.0000,0.0000,0.0000,0.2768
4.000,0.5373,0.01519,0.00757,-0.0147,0.5213,1.0000,-1.5882,0.0000,0.0000,0.0000,0.2724
4.250,0.5572,0.01551,0.00770,-0.0130,0.4837,1.0000,-1.6900,0.0000,0.0000,0.0000,0.2682
4.500,0.5767,0.01586,0.00794,-0.0113,0.4441,1.0000,-1.7917,0.0000,0.0000,0.0000,0.2642
4.750,0.5959,0.01627,0.00819,-0.0096,0.4035,1.0000,-1.8937,0.0000,0.0000,0.0000,0.2605
5.000,0.6146,0.01677,0.00848,-0.0079,0.3636,1.0000,-1.9954,0.0000,0.0000,0.0000,0.2570
5.250,0.6326,0.01735,0.00882,-0.0061,0.3235,1.0000,-2.0961,0.0000,0.0000,0.0000,0.2536
5.500,0.6507,0.01799,0.00930,-0.0044,0.2838,1.0000,-2.1950,0.0000,0.0000,0.0000,0.2504
