Velocity,Altitude,Air density,C_L
200.0,27000.0,0.028775929576705047,0.5308982539200727
199.31555336940514,26996.239743666603,0.02879294735220976,0.9448780551951725
198.95757756852856,26985.902435438667,0.028839784221356767,1.2352094227607742
198.8725441376398,26970.010089133495,0.028911943058067248,1.4042349126070637
199.0245846859955,26949.211996990325,0.029006656920225412,1.5335097747711843
199.39623238922118,26923.773286483043,0.02912293801003671,1.2763
200.0090202046814,26893.175048598365,0.02926343881551023,1.2763
200.8615547051749,26857.333705102068,0.02942890178272979,1.2763
201.9433377416154,26816.316402013814,0.029619440935032076,1.2763
203.24264726236805,26770.20263299569,0.029835170590057695,1.2763
204.74667345463607,26719.084340612182,0.030076201841268847,1.2763
206.4416609298699,26663.06604198507,0.030342638346789644,1.2763
208.31305182530107,26602.264975862887,0.03063457139664662,1.2763
210.3456253877502,26536.811267560173,0.030952074228614873,1.2763
212.52363049051837,26466.848107445825,0.03129519556436383,1.2763
214.83090851533672,26392.53193766901,0.03166395234181566,1.2763
217.25100502417186,26314.03264060788,0.03205832162710902,1.2763
219.76726958138283,26231.53372112338,0.03247823170076118,1.2763
222.36294391561557,26145.232473116204,0.0329235523280702,1.2763
225.02123930183427,26055.3401191504,0.03339408424402878,1.2763
227.72540458196485,25962.081910067194,0.03388954790843954,1.2763
230.45878662489017,25865.697169623345,0.034409571617910924,1.2763
233.2048852582568,25766.439267327958,0.03495367909807707,1.2763
235.94740479564348,25664.57550091298,0.03552127674165206,1.2763
238.67030424500084,25560.386868370282,0.03611164070526859,1.2763
241.35778275893952,25454.167713895098,0.03672390409734614,1.2763
243.99388914611978,25346.22533344692,0.037357043935287285,1.2763
246.56276736197282,25236.879464170004,0.038009868485895534,1.2763
249.04889276354413,25126.46142847295,0.03868100663941479,1.2763
251.4371803161844,25015.313006681925,0.039368899316751575,1.2763
253.71311219509866,24903.785033088894,0.0400717933961962,1.2763
255.86288121007402,24792.23569983736,0.040787738756654764,1.2763
257.8735453078767,24681.028562767126,0.04151458901492871,1.2763
259.73318662850323,24570.530255008754,0.04225000647970359,1.2763
261.4310671836401,24461.107927238823,0.042991471751824564,1.2763
262.95777240162397,24353.12644727021,0.043736298269409876,1.2763
264.3053337127273,24246.945405066937,0.04448165193127067,1.2763
265.46732212093195,24142.915981267062,0.045224575740445444,1.2763
266.4389063048471,24041.377746849852,0.0459620192020474,1.2763
267.21687107526725,23942.65546785415,0.0466908719989848,1.2763
267.7995947510397,23847.055991507044,0.047408001269218104,1.2763
268.1869868913336,23754.865288588368,0.048110291632448926,1.2763
268.38039051627015,23666.345721562477,0.04879468697384438,1.2763
268.3824551697257,23581.733599519248,0.04945823289616783,1.2763
268.19698871845605,23501.237070096115,0.05009811870442669,1.2763
267.82879653716856,23425.034386243206,0.05071171779016536,1.2763
267.283516706728,23353.272572880647,0.05129662533383978,1.2763
266.56745915345306,23286.066506014246,0.05185069233844622,1.2763
265.6874554467523,23223.49840537016,0.052372055139000166,1.2763
264.65072444454637,23165.61773152073,0.05285915969244729,1.2763
263.4647573218893,23112.441470028945,0.0533107801324611,1.2763
262.1372239009815,23063.954778391588,0.05372603126451949,1.2763
260.67590074163763,23020.111966428314,0.05410437487017032,1.2763
259.08862022602466,22980.83777708425,0.05444561987757899,1.2763
257.38323891430747,22946.02893218371,0.0547499166312841,1.2763
255.56762275996334,22915.555906283855,0.055017745651525125,1.2763
253.6496463336132,22889.26489124042,0.05524990140778068,1.2763
251.63720297823465,22866.979914249692,0.0554474717387174,1.2763
249.53822276806403,22848.50507284054,0.05561181362954167,1.2763
247.3606952307717,22833.626851460707,0.055744526106976694,1.2763
245.1126939845638,22822.116485854214,0.05584742103240587,1.2763
242.8024007111634,22813.732343309926,0.05592249256684954,1.2763
240.43812621012322,22808.222289028574,0.055971886050212055,1.2763
238.02832664196313,22805.3260112765,0.05599786698515821,1.2763
235.5816710253681,22804.777280758386,0.0560027907460081,1.2763
233.10743059342258,22806.306133714697,0.05598907345087453,1.2763
230.61506100427425,22809.640990506985,0.055959164173477426,1.2763
228.1139559029095,22814.510655583534,0.05591551919810058,1.2763
225.613431248207,22820.64615329739,0.05586057887832714,1.2763
223.12270746783813,22827.782392104695,0.05579674725429813,1.2763
220.6508901551863,22835.65965603996,0.055726374468092026,1.2763
218.20694885052342,22844.024925972455,0.055651741934892696,1.2763
215.7996935185224,22852.63303613209,0.055575050160381285,1.2763
213.4377484092309,22861.24767376572,0.05549840904224521,1.2763
211.12952307182593,22869.642231572983,0.05542383045510496,1.2763
208.88318038188052,22877.600523821817,0.05535322289231087,1.2763
206.706601545299,22884.917377812297,0.05528838792341213,1.2763
204.60734815665396,22891.39911270437,0.055231018221002376,1.2763
202.59262151649745,22896.86391771366,0.055182696913315316,1.2763
200.66921955004952,22901.14214137217,0.05514489802775423,1.2763
198.8434918155817,22904.076503006803,0.05511898780395509,1.2763
197.1212932401428,22905.522236863642,0.055106226671600714,1.2763
195.50793736656655,22905.347178449203,0.05510777170688769,1.2763
194.00815003101525,22903.431801716295,0.05512467940131026,1.2763
192.62602450558254,22899.6692147291,0.055157908596475576,1.2763
191.36497922624767,22893.96512043143,0.05520832345845469,1.2763
190.2277192736974,22886.237748140957,0.05527669638419808,1.2763
189.21620277556906,22876.41776041963,0.05536371075061271,1.2763
188.3316133482544,22864.448139042852,0.05546996343375559,1.2763
187.5743395924741,22850.284052918167,0.05559596704125557,1.2763
186.94396250119794,22833.89270999381,0.05574215181550018,1.2763
186.43925143696595,22815.253194451536,0.0559088671784276,1.2763
