0.01,0.28
0.02,0.25
0.03,0.239
0.04,0.232
0.05,0.228
0.06,0.224
0.07,0.221
0.08,0.218
0.09,0.216
0.1,0.214
0.11,0.212
0.12,0.211
0.13,0.21
0.14,0.208
0.15,0.207
0.16,0.206
0.17,0.207
0.18,0.207
0.19,0.207
0.2,0.207
0.21,0.207
0.22,0.207
0.23,0.208
0.24,0.209
0.25,0.209
0.26,0.21
0.27,0.211
0.28,0.211
0.29,0.212
0.3,0.212
0.31,0.213
0.32,0.213
0.33,0.214
0.34,0.214
0.35,0.215
0.36,0.215
0.37,0.215
0.38,0.216
0.39,0.216
0.4,0.216
0.41,0.216
0.42,0.217
0.43,0.217
0.44,0.217
0.45,0.217
0.46,0.218
0.47,0.218
0.48,0.218
0.49,0.218
0.5,0.218
0.51,0.219
0.52,0.219
0.53,0.219
0.54,0.219
0.55,0.219
0.56,0.219
0.57,0.22
0.58,0.22
0.59,0.22
0.6,0.22
0.61,0.22
0.62,0.221
0.63,0.221
0.64,0.221
0.65,0.221
0.66,0.222
0.67,0.222
0.68,0.222
0.69,0.222
0.7,0.223
0.71,0.223
0.72,0.223
0.73,0.223
0.74,0.224
0.75,0.224
0.76,0.224
0.77,0.224
0.78,0.225
0.79,0.225
0.8,0.225
0.81,0.225
0.82,0.226
0.83,0.226
0.84,0.226
0.85,0.226
0.86,0.227
0.87,0.227
0.88,0.227
0.89,0.227
0.9,0.228
0.91,0.229
0.92,0.234
0.93,0.244
0.94,0.257
0.95,0.269
0.96,0.282
0.97,0.295
0.98,0.308
0.99,0.321
1,0.333
1.01,0.346
1.02,0.359
1.03,0.372
1.04,0.385
1.05,0.398
1.06,0.397
1.07,0.397
1.08,0.397
1.09,0.397
1.1,0.397
1.11,0.397
1.12,0.398
1.13,0.398
1.14,0.398
1.15,0.398
1.16,0.398
1.17,0.397
1.18,0.397
1.19,0.396
1.2,0.396
1.21,0.395
1.22,0.395
1.23,0.395
1.24,0.395
1.25,0.395
1.26,0.395
1.27,0.396
1.28,0.396
1.29,0.397
1.3,0.398
