-9,-0.5182
-8.75,-0.5038
-8.5,-0.6506
-8.25,-0.6331
-8,-0.6304
-7.75,-0.731
-7.5,-0.7443
-7.25,-0.7331
-7,-0.7211
-6.75,-0.7084
-6.5,-0.6931
-6.25,-0.675
-6,-0.6522
-5.75,-0.6298
-5.5,-0.6051
-5.25,-0.5787
-5,-0.5518
-4.75,-0.5262
-4.5,-0.5017
-4.25,-0.484
-4,-0.4757
-3.75,-0.464
-3.5,-0.4424
-3.25,-0.3775
-3,-0.2313
-2.75,-0.18
-2.5,-0.1649
-2.25,-0.149
-2,-0.1325
-1.75,-0.1157
-1.5,-0.0988
-1.25,-0.0818
-1,-0.0649
-0.75,-0.0483
-0.5,-0.0319
-0.25,-0.0158
0,0
0.25,0.0158
0.5,0.0319
0.75,0.0483
1,0.0649
1.25,0.0818
1.5,0.0988
1.75,0.1158
2,0.1326
2.25,0.149
2.5,0.1649
2.75,0.1801
3,0.2313
3.25,0.3775
3.5,0.4424
3.75,0.464
4,0.4757
4.25,0.484
4.5,0.5017
4.75,0.5262
5,0.5518
5.25,0.5787
5.5,0.6051
5.75,0.6298
6,0.6522
6.25,0.675
6.5,0.6931
6.75,0.7084
7,0.7212
7.25,0.7331
7.5,0.7444
7.75,0.7211
8,0.6308
